hotelid,hotelname,hotelstars,lat,lon,address
1,Iberostar Playa de Muro,4.0,39.8118429,3.1163385,"Iberostar Waves Alcudia Park, 30, Avinguda de s'Albufera, Platja de Muro, Muro, Pla de Mallorca, Illes Balears, 07458, España"
2,Prinsotel La Pineda,4.0,,,
3,BlueSea Gran Playa,3.0,,,
4,Grupotel Gran Vista & Spa,4.0,39.7653589,3.1472249,"Grupotel Gran Vista & Spa, Carrer Llevant, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
5,Playa Esperanza Hotel,4.0,39.8028119,3.1192318,"Playa Esperanza Resort, 4, Avinguda de s'Albufera, Platja de Muro, Muro, Pla de Mallorca, Illes Balears, 07458, España"
6,Hotel Cala d'Or,4.0,,,
7,Valentin Paguera,3.0,39.5388836,2.4529770,"Valentin Reina Paguera, 1, Carrer de Mallorca, Peguera, Calvià, Serra de Tramuntana, Illes Balears, 07160, España"
8,Hotel Vibra Beverly Playa,4.0,,,
9,Bonsol Hotel Resort & Spa,5.0,,,
10,Bon Aire Apartments,1.0,,,
11,Hotel Carabela,3.0,,,
12,Alua Gran Camp de Mar,4.0,,,
13,Fergus Club Europa,4.0,,,
14,Hilton Mallorca Galatzo,4.0,,,
15,Bahia del Sol,4.0,,,
16,Hotel y Apartamentos Casablanca,3.0,,,
17,Gaya,3.0,39.6150614,3.1104092,"Gaya, Plaça de sa Rectoria, Petra, Pla de Mallorca, Illes Balears, 07520, España"
18,Holiday Center,3.0,,,
19,Grupotel Nilo & Spa,4.0,,,
20,allsun Hotel Paguera Park,4.0,,,
21,H10 Blue Mar,4.0,,,
22,Globales Pionero,4.0,,,
23,Meliá Palma Marina,4.0,39.5645571,2.6272783,"Meliá Palma Marina, 29, Carrer de l'Aigua Dolça, El Terreno, Palma, Illes Balears, 07014, España"
24,Club Santa Ponsa ,3.0,,,
25,BQ Bulevar Peguera Hotel,4.0,,,
26,Roc Illetas Hotel,4.0,,,
27,Iberostar Selection Jardín del Sol Suites,4.0,,,
28,Globales Santa Ponsa Park,4.0,,,
29,HSM Solivera Hotel,4.0,,,
30,Hotel Son Caliu Spa Oasis,4.0,,,
31,Tora,3.0,,,
32,Venecia,3.0,39.5802694,2.6548633,"Venecia, 42, Carrer de l'Arxiduc Lluís Salvador, s'Olivera, Palma, Illes Balears, 07004, España"
33,Secrets Mallorca Villamil Resort & Spa,5.0,,,
34,Villa Columbus,2.0,,,
35,Hostal Residencia Sutimar,3.0,,,
36,Mar Hotels Paguera & Spa and Apartments,4.0,,,
37,Hostal Villa Rosa,3.0,,,
38,Hotel Bonanza Park,4.0,,,
39,Hotel Palace Bonanza Playa & SPA,4.0,,,
40,Ponent Apartamentos,3.0,,,
41,Ponent Mar,4.0,,,
42,Sentido Fido Punta del Mar,4.0,,,
43,Flor Los Almendros Apartments,2.0,,,
44,Valentin Reina Paguera Hotel,4.0,39.5388836,2.4529770,"Valentin Reina Paguera, 1, Carrer de Mallorca, Peguera, Calvià, Serra de Tramuntana, Illes Balears, 07160, España"
45,Globales Playa Santa Ponsa,3.0,,,
46,Plazamar Serenity Resort ,3.0,,,
47,Be Live Experience Costa Palma,4.0,,,
48,La Pérgola Aparthotel,4.0,,,
49,HSM Linda Playa,3.0,,,
50,Los Tilos Aparthotel,2.0,,,
51,Hotel Palmira Paguera & Suites,4.0,,,
52,BQ Paguera Boutique Hotel ,4.0,,,
53,Universal Aparthotel Don Camilo,4.0,,,
54,Sol House The Studio - Calvia Beach,4.0,,,
55,Tomir Portals Suites,4.0,,,
56,Hotel Bahia,4.0,39.7668127,3.1542176,"Hotel Gran Bahía, 1, Carrer de l'Almirall Cervera, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
57,Bon Repos,2.0,,,
58,Zafiro Palmanova,4.0,,,
59,Sheraton Mallorca Arabella Golf Hotel,5.0,39.5871089,2.5990517,"Sheraton Mallorca Arabella Golf Hotel, Carrer de Vinagrella, Son Vida, Palma, Illes Balears, 07011, España"
60,Brismar,3.0,,,
61,Globales Cala Viñas,4.0,,,
62,Cupido Boutique Hotel,3.0,,,
