hotelid,hotelname,hotelstars,lat,lon,address
1,Iberostar Playa de Muro,4.0,39.8070456,3.1174558,"Av. de s'Albufera, 8, 07458 Playa de Muro, Mallorca, Illes Balears, Spain"
2,Prinsotel La Pineda,4.0,39.7145288,3.4579996,"Carrer Castellet, 72, 07590 Cala Rajada, Illes Balears, Spain"
3,BlueSea Gran Playa,3.0,39.5775355,3.3744403,"Calle Ses, Plaça de la Estepes, 5, 07560 Sa Coma, Illes Balears, Spain"
4,Grupotel Gran Vista & Spa,4.0,39.7660286,3.1463834,"Ctra Artá - Pt. Alcudia, 68, 07458 Can Picafort, Illes Balears, Spain"
5,Playa Esperanza Hotel,4.0,39.803686,3.1194,"Av. de s'Albufera, 4, 07458 Alcudia, Illes Balears, Spain"
6,Hotel Cala d'Or,4.0,39.3714132,3.2293412,"Av. de Bèlgica, 49, 07660 Cala D'or, Illes Balears, Spain"
7,Valentin Paguera,3.0,39.5390399,2.453303,"Carrer Mallorca, 1, 07160 Peguera, Illes Balears, Spain"
8,Hotel Vibra Beverly Playa,4.0,39.534837,2.4586975,"Carrer d'Isaac Albéniz, 3, 07160 Calvià, Illes Balears, Spain"
9,Bonsol Hotel Resort & Spa,5.0,39.54058070000001,2.592458,"Paseo de Illetas, 30, 07181 Cas Català, Illes Balears, Spain"
10,Bon Aire Apartments,1.0,39.581754,2.6474675,"Bons Aires, Nord, Palma, Illes Balears, Spain"
11,Hotel Carabela,3.0,39.5374944,2.4491264,"Bulevar de Peguera, 44, 07160 Peguera, Illes Balears, Spain"
12,Alua Gran Camp de Mar,4.0,39.5382591,2.4214394,"Av. Gabriel Covas Alemany, 2, 07160 Camp de Mar, Illes Balears, Spain"
13,Fergus Club Europa,4.0,39.5391498,2.4362841,"Carrer de La Savina, 16, 07160 Peguera, Illes Balears, Spain"
14,Hilton Mallorca Galatzo,4.0,39.5286429,2.4733053,"Ctra. Andratx, Km 20, 07160 Costa de la Calma, Illes Balears, Spain"
15,Bahia del Sol,4.0,39.5125395,2.4772259,"Avinguda del Rei Jaume I, 74, 07180 Santa Ponça, Illes Balears, Spain"
16,Hotel y Apartamentos Casablanca,3.0,39.5132668,2.4829817,"Carrer Gran Via Rei Sanxo, 4, 07183 Santa Ponça, Illes Balears, Spain"
17,Gaya,3.0,24.7913957,85.0002336,"Gaya, Bihar, India"
18,Holiday Center,3.0,39.3135808,3.1207987,"Calle Fustera, 19 ( Cap Des Moro, 07690 Cap des Moró, Illes Balears, Spain"
19,Grupotel Nilo & Spa,4.0,39.5389221,2.4496664,"Carrer de les Malgrats, 9, 07160 Peguera, Illes Balears, Spain"
20,allsun Hotel Paguera Park,4.0,39.540743,2.450142,"Carrer de Palmira, 17, 07160 Peguera, Illes Balears, Spain"
21,H10 Blue Mar,4.0,39.5375933,2.4244447,"Camí Salinar, 8, 07160 Andratx, Illes Balears, Spain"
22,Globales Pionero,4.0,39.5174423,2.484279,"Via Puig des Teix, 5, 07183 Santa Ponça, Illes Balears, Spain"
23,Meliá Palma Marina,4.0,39.564838,2.62749,"Av. de Gabriel Roca, 29, Ponent, 07014 Palma, Illes Balears, Spain"
24,Club Santa Ponsa ,3.0,39.5207858,2.4750411,"Carrer de Nunyo Sanç, 14, 07180 Santa Ponça, Illes Balears, Spain"
25,BQ Bulevar Peguera Hotel,4.0,39.5400215,2.4469566,"Carrer Eucaliptus, 15, 07160 Peguera, Illes Balears, Spain"
26,Roc Illetas Hotel,4.0,39.5385648,2.5923223,"Passeig Illetes, 62, 07181 ses Illetes, Illes Balears, Spain"
27,Iberostar Selection Jardín del Sol Suites,4.0,39.51969769999999,2.4691597,"Huguet de's Far, s/n, 07180 Calviá, Illes Balears, Spain"
28,Globales Santa Ponsa Park,4.0,39.5167031,2.4829109,"Carrer Puig d'es Teix, 3, 07180 Santa Ponça, Illes Balears, Spain"
29,HSM Solivera Hotel,4.0,39.54,2.4472222,"Carrer Eucaliptus, 16, 07160 Peguera, Illes Balears, Spain"
30,Hotel Son Caliu Spa Oasis,4.0,39.5262382,2.5442926,"Av. son Caliu, 8, 07181 Palmanova, Illes Balears, Spain"
31,Tora,3.0,41.81054,1.4036179,"25750 Torà, Lleida, Spain"
32,Venecia,3.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
33,Secrets Mallorca Villamil Resort & Spa,5.0,39.537534,2.453105,"Bulevar de Peguera, 66, 07160 Peguera, Illes Balears, Spain"
34,Villa Columbus,2.0,39.5396636,2.4508925,"Carrer dels Pins, 13, 07160 Peguera, Illes Balears, Spain"
35,Hostal Residencia Sutimar,3.0,39.5389125,2.4505144,"Carrer de Palmira, 9, 07160 Peguera, Illes Balears, Spain"
36,Mar Hotels Paguera & Spa and Apartments,4.0,39.53739600000001,2.4575657,"Carrer de les Gavines, 19, 07160 Peguera, Illes Balears, Spain"
37,Hostal Villa Rosa,3.0,39.5395487,2.4492856,"Calle Malgrat, 11, 07160 Peguera, Illes Balears, Spain"
38,Hotel Bonanza Park,4.0,39.5411791,2.5932097,"Passeig Illetes, 26, 07181 ses Illetes, Illes Balears, Spain"
39,Hotel Palace Bonanza Playa & SPA,4.0,39.5410106,2.5937453,"Passeig Illetes, 21, 07181 ses Illetes, Illes Balears, Spain"
40,Ponent Apartamentos,3.0,39.5361111,2.4552778,"Carrer Sebel·lí, 4, 07160 Peguera, Illes Balears, Spain"
41,Ponent Mar,4.0,39.52494050000001,2.5442886,"Carrer Marquès de la Torre, 9, 07181 Palmanova, Illes Balears, Spain"
42,Sentido Fido Punta del Mar,4.0,39.5193861,2.467246,"Carrer Huguet des Far, 11, 07180 Santa Ponça, Illes Balears, Spain"
43,Flor Los Almendros Apartments,2.0,39.5366398,2.4476353,"Bulevar de Peguera, 36, 07160 Peguera, Illes Balears, Spain"
44,Valentin Reina Paguera Hotel,4.0,39.5390399,2.453303,"Carrer Mallorca, 1, 07160 Peguera, Illes Balears, Spain"
45,Globales Playa Santa Ponsa,3.0,39.51642349999999,2.4832211,"Via Puig des Teix, 4, 07183 Santa Ponça, Illes Balears, Spain"
46,Plazamar Serenity Resort ,3.0,39.512761,2.4843056,"Avinguda del Golf, 4, 07180 Santa Ponsa, Illes Balears, Spain"
47,Be Live Experience Costa Palma,4.0,39.5528057,2.6052072,"Carrer Guillem Díaz-Plaja, 2, Ponent, 07015 Palma, Illes Balears, Spain"
48,La Pérgola Aparthotel,4.0,39.5486768,2.3819594,"Avinguda s'Almudaina, 16, 07157 Port d'Andratx, Illes Balears, Spain"
49,HSM Linda Playa,3.0,39.5384521,2.4519897,"Carrer dels Tarongers, 2, 07160 Peguera, Illes Balears, Spain"
50,Los Tilos Aparthotel,2.0,39.539132,2.4514978,"Plaza Matilde Waring, 3, 07160 Peguera, Illes Balears, Spain"
51,Hotel Palmira Paguera & Suites,4.0,39.5393768,2.4506124,"Carrer de Palmira, 10, 07160 Peguera, Illes Balears, Spain"
52,BQ Paguera Boutique Hotel ,4.0,39.5400494,2.4501057,"Carrer de Palmira, 29, 07160 Peguera, Illes Balears, Spain"
53,Universal Aparthotel Don Camilo,4.0,39.57699460000001,2.355268,"Carrer Cala es Conills, 5, 07159 Sant Elm, Illes Balears, Spain"
54,Sol House The Studio - Calvia Beach,4.0,39.50789100000001,2.533199,"Carrer Blanc, 2, 07181 Magaluf, Illes Balears, Spain"
55,Tomir Portals Suites,4.0,39.5345708,2.5675996,"Carrer Miguel de Cervantes, 4, 07181 Portals Nous, Illes Balears, Spain"
56,Hotel Bahia,4.0,39.536663,2.4579336,"Bulevar de Peguera, 81, 07160 Peguera, Illes Balears, Spain"
57,Bon Repos,2.0,39.5134668,2.4819768,"Carrer Gran Via Rei Sanxo, 8, 07180 Calvia (Mallorca, Illes Balears, Spain"
58,Zafiro Palmanova,4.0,39.5140929,2.5355608,"Av. de Cas Saboners, 5, 07181 Palmanova, Illes Balears, Spain"
59,Sheraton Mallorca Arabella Golf Hotel,5.0,39.5866644,2.5993321,"Carrer Vinagrella, Ponent, 07013 Son Vida, Illes Balears, Spain"
60,Brismar,3.0,39.5438491,2.3867458,"Av. Almirante Riera Alemany, 4a, 07157 Andratx, Illes Balears, Spain"
61,Globales Cala Viñas,4.0,39.4963776,2.5355949,"Carrer de les Sirenes, 15, 07181 Cala Vinyes, Illes Balears, Spain"
62,Cupido Boutique Hotel,3.0,39.537791,2.448459,"Carrer Eucaliptus, 5, 07160 Peguera, Illes Balears, Spain"
63,Paguera Beach,4.0,39.5373108,2.4521777,"Bulevar de Peguera, 64, bj, 07160 Peguera, Illes Balears, Spain"
64,Maria Eugenia Pension,5.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
65,Hotel de Mar Gran Melia,5.0,39.543886,2.596245,"Passeig Illetes, 7, 07181 ses Illetes, Illes Balears, Spain"
66,Flor Los Almendros Hotel,3.0,39.5366398,2.4476353,"Bulevar de Peguera, 36, 07160 Peguera, Illes Balears, Spain"
67,Gran Meliá Victoria,5.0,39.5635716,2.6267103,"Avinguda de Joan Miró, 21, Ponent, 07014 Palma, Illes Balears, Spain"
68,Miranda,2.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
69,Hotel Palmira Paradise & Suites,4.0,39.5382199,2.4590624,"Carrer de les Gavines, 24, 07160 Peguera, Illes Balears, Spain"
70,allsun Hotel Bella Paguera,5.0,39.5351785,2.4605818,"Carrer José Maria Pemán, 15, 07160 Peguera, Illes Balears, Spain"
71,allsun Hotel Cormoran,5.0,39.53912,2.4536035,"Carrer Putxet, 2, 07160 Peguera, Illes Balears, Spain"
72,Sol Wave House All Suites,4.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
73,Zafiro Rey Don Jaime,4.0,39.5178441,2.4837898,"Carrer Gran Via Puig Major, 4, 07180 Santa Ponça, Illes Balears, Spain"
74,Grupotel Aguait Resort & Spa,4.0,39.6952969,3.4547174,"Av. dels Pins, 61, 07590 Cala Rajada, Illes Balears, Spain"
75,Prinsotel Alba,4.0,39.3741879,3.2344748,"Carrer de sa Conillera, s/n, 07660 Cala D'or, Illes Balears, Spain"
76,Alcina,1.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
77,Alondra,3.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
78,Amoros,3.0,39.7102558,3.4584558,"Carrer de ses Llegitimes, 37, 07590 Cala Rajada, Illes Balears, Spain"
79,Globales América,4.0,39.4589994,3.279536,"Carrer de Cala Domingos, s/n, 07689 Cales de Mallorca, Illes Balears, Spain"
80,Gavimar Ariel,3.0,39.375576,3.2305391,"Carrer d'Ariel, 1, 07660 Cala D'or, Illes Balears, Spain"
81,Protur Atalaya Apartamentos,3.0,39.600578,3.3829411,"Carrer Sol Naixent, s/n, 07650 Cala Millor, Illes Balears, Spain"
82,allsun Hotel Bahia del Este,5.0,39.5951669,3.382184,"Avinguda Llevant, 4, 07560 Cala Millor, Illes Balears, Spain"
83,Hotel Bella Mar,3.0,39.7111111,3.4591667,"Carrer de Méndez Núñez, 11, 07590 Cala Rajada, Illes Balears, Spain"
84,Bella Playa Hotel & Spa,4.0,39.7189197,3.4574506,"Avinguda Cala Agulla, 121, 07590 Cala Rajada, Illes Balears, Spain"
85,Hotel Cala Gat,4.0,39.7146419,3.4692765,"Carretera del faro, 5, 07590 Cala Rajada, Illes Balears, Spain"
86,Guya Wave Hotel,3.0,39.714807,3.459883800000001,"Avinguda Cala Agulla, 65, 07590 Cala Rajada, Illes Balears, Spain"
87,THB Cala Lliteras,4.0,39.7193857,3.4629047,"Carrer de na Lliteres, 9, 07590 Cala Rajada, Illes Balears, Spain"
88,Club Hotel Cala Ratjada,3.0,39.7100398,3.4566911,"07590 Cala Ratjada, Balearic Islands, Spain"
89,Baviera,3.0,48.1319124,11.5709058,"Bavaria, Germany"
90,Capricho,3.0,39.5703904,2.6485507,"Carrer de Sant Nicolau, 5, Centre, 07001 Palma, Illes Balears, Spain"
91,Singular Cala Ratjada,2.0,39.7129244,3.4639816,"Carrer de Méndez Núñez, 61, 07590 Cala Rajada, Illes Balears, Spain"
92,Clumba,3.0,39.7063607,3.4570787,"Carrer Nereidas, 2, 07590 Capdepera, Illes Balears, Spain"
93,Diamant Hotels,3.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
94,THB Dos Playas,3.0,39.7087273,3.4558654,"Carrer Mestral, 2, 07590 Cala Rajada, Illes Balears, Spain"
95,Paradise Residencial,3.0,39.7184606,3.4604655,"Avinguda Cala Agulla, 106, 07590 Cala Rajada, Illes Balears, Spain"
96,Hostal Gami                   ,1.0,39.7107135,3.4596325,"Carrer Bustamante, 19, 07590 Cala Rajada, Illes Balears, Spain"
97,THB Guya Playa,4.0,39.7192538,3.4598856,"Carrer des Secret, s/n, 07590 Cala Rajada, Illes Balears, Spain"
98,allsun Hotel Lux de Mar,4.0,39.7195278,3.4584722,"Avinguda Cala Agulla, 120, 07590 Cala Agulla, Illes Balears, Spain"
99,Mar Azul Pur Estil Hotel & Spa,4.0,39.7195443,3.4576243,"Carrer de sa Regana Blava, s/n, 07590 Cala Rajada, Illes Balears, Spain"
100,Bell Port,3.0,39.7168013,3.460051,"Avinguda Cala Agulla, 83, 07590 Cala Rajada, Illes Balears, Spain"
101,Parque Nereida Suites Hotel,3.0,39.7193603,3.4618763,"Avenida Cala Lliteras, 4, 07590 Cala Rajada, Illes Balears, Spain"
102,HSM Regana,4.0,39.7194235,3.4579545,"Avinguda Cala Agulla, s/n, 07590 Cala Rajada, Illes Balears, Spain"
103,Quijote Park,3.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
104,Marbel,2.0,39.6952629,3.0175712,"Majorca, Balearic Islands, Spain"
105,Hotel & Spa S'Entrador Playa ,4.0,39.7191573,3.4565795,"Avenida de, Avinguda Cala Agulla, 123, 07590 Cala Rajada, Illes Balears, Spain"
106,Serrano Palace,5.0,39.7064786,3.4561339,"Playa de Son Moll s/n, 07590 Cala Rajada, Illes Balears, Spain"
107,Protur Turó Pins Hotel,4.0,39.7178297,3.4636657,"Carrer des Clot Gran, S/N, 07590 Cala Rajada, Illes Balears, Spain"
108,Chevy Hotel & Suites,3.0,39.7132186,3.4650137,"Carrer Reis Catòlics, 11, 07590 Cala Rajada, Illes Balears, Spain"
109,Vistasol,2.0,39.5108859,2.5371445,"Carrer Alt, 5, 07181 Magaluf, Illes Balears, Spain"
110,D-H Anba Romani Hotel,3.0,39.599036,3.3841003,"Avinguda de Cristòfol Colom, 21, 07530 Sant Llorenç des Cardassar, Illes Balears, Spain"
111,Hipotels Bahía Grande,4.0,39.5873943,3.3841451,"Carrer Castell, 1, 07560 Sant Llorenç des Cardassar, Illes Balears, Spain"
112,Biniamar,3.0,39.7308251,2.8717393,"07369 Biniamar, Balearic Islands, Spain"
113,allsun Hotel Borneo,5.0,39.5901252,3.3841577,"Carrer de sa Coma de Bolengues, 41, 07810 Cala Millor, Illes Balears, Spain"
114,Hipotels Cala Millor Park,4.0,39.5939388,3.3817341,"Carrer Estanyol, 1, 07560 Cala Millor, Illes Balears, Spain"
115,Marins Beach Club,4.0,39.5924583,3.3818475,"Carrer Estanyol, 7, 07560 Cala Millor, Illes Balears, Spain"
116,CM Castell de Mar,4.0,39.59625310000001,3.3831475,"Carrer Bonança, 1, 07560 Cala Millor, Illes Balears, Spain"
117,Aparthotel Ciudad Laurel,3.0,39.6082879,3.3837003,"Avda. Beat, Av. Ramon Llull, 53, 07560 Cala Millor, Illes Balears, Spain"
118,Hipotels Don Juan,3.0,39.6002769,3.3844145,"Paseo Joan Llinas s/n, 07560 Cala Millor, Illes Balears, Spain"
119,Hipotels Dunas Cala Millor,4.0,39.5884679,3.3842317,"Av. sa Coma, 47, 07560 Sant Llorenç des Cardassar, Illes Balears, Spain"
120,Hipotels Flamenco,4.0,39.5923991,3.3836543,"Av. sa Coma, 13, 07560 Sant Llorenç des Cardassar, Illes Balears, Spain"
121,Hotel Girasol ,4.0,39.5985772,3.3823189,"Carrer Dofí, 8, 07560 Cala Millor, Illes Balears, Spain"
122,Kyrat Amàrac,4.0,39.6005788,3.3848001,"Carrer de la Vinya del Mar, 1, 07560 Son Servera, Illes Balears, Spain"
123,Hipotels Hipocampo,4.0,39.59694470000001,3.3835696,"C/ Bonanza, 4, 07560 Cala Millor, Illes Balears, Spain"
124,Hipotels Hipocampo Playa,4.0,39.5892652,3.3842265,"Av. sa Coma, 45, 07560 Cala Millor, Illes Balears, Spain"
125,BlueSea Cala Millor,3.0,39.5991954,3.3826756,"Carrer Caravel·les, 4, 07560 Cala Millor, Illes Balears, Spain"
126,Hoteles & Apartamentos La Santa Maria,3.0,39.59660299999999,3.3797942,"Av. del Bon Temps, 31, 07560 Sant Llorenç des Cardassar, Illes Balears, Spain"
127,Hotel Marins Playa,4.0,39.6075744,3.3878741,"Carrer na Llambies, 41, 07560 Cala Millor, Illes Balears, Spain"
128,Hipotels Mercedes,3.0,39.5939361,3.3831165,"Av. sa Coma, 1, 07560 Cala Millor, Illes Balears, Spain"
129,R2 Cala Millor Beach Apartments,3.0,39.6005729,3.3845277,"Carrer Sol Naixent, 3, 07560 Cala Millor, Illes Balears, Spain"
130,Hotel Ilusion Moreyo,1.0,39.6128529,3.3909982,"Passeig Maritim de Cala Bona, 8, 07559 Son Servera, Illes Balears, Spain"
131,Hotel Apartamentos Morito,3.0,39.5966458,3.3833965,"Carrer Bonança, 2, 07560 Sant Llorenç des Cardassar, Illes Balears, Spain"
132,CM Playa del Moro,4.0,39.597937,3.3837231,"Carrer Alosa, 2, 07560 Cala Millor, Illes Balears, Spain"
133,Sabina Playa,4.0,39.6064133,3.3878893,"Carrer des Rafal, 4, 07560 Cala Millor, Illes Balears, Spain"
134,Hipotels Said,4.0,39.5970185,3.3812261,"Av. del Bon Temps, 23, 07560 Cala Millor, Illes Balears, Spain"
135,allsun Hotel Sumba,5.0,39.5908294,3.3838899,"Av. sa Coma, 41, 43, 07560 Cala Millor, Illes Balears, Spain"
136,Ilusion Vista Blava,3.0,39.60361109999999,3.3825,"Carrer de ses Planes, 8, 07560 Cala Millor, Illes Balears, Spain"
137,Voramar,3.0,39.5506952,2.5982705,"Avinguda de Joan Miró, Ponent, 07015 Palma, Illes Balears, Spain"
138,Inturotel Cala Azul,3.0,39.377642,3.237479,"Carrer Caló des Corral, s/n, 07660 Cala D'or, Illes Balears, Spain"
139,Blue Sea Club Martha´s Resort,4.0,39.363387,3.2278082,"Carrer d'es Parc de la Mar, 6, 07660 Cala D'or, Illes Balears, Spain"
